"studyID","short_reference","ot:studyPublicationReference","ot:studyPublication"
"ot_773","Wood et al., 2016","Wood, Jamie R., Kieren J. Mitchell, R. Paul Scofield, Vanesa L. De Pietri, Nicolas J. Rawlence, Alan Cooper. 2016. Phylogenetic relationships and terrestrial adaptations of the extinct laughing owl, Sceloglaux albifacies (Aves: Strigidae). Zoological Journal of the Linnean Society","http://dx.doi.org/10.1111/zoj.12483"
"ot_822","Woog et al., 2008","Woog, F. Michael Wink, Eskandar Rastegar-Pouyani, Javier Gonzalez, Barbara Helm, 2008, 'Distinct taxonomic position of the Madagascar stonechat (Saxicola torquatus sibilla) revealed by nucleotide sequences of mitochondrial DNA', Journal of Ornithology, vol. 149, no. 3, pp. 423-430","http://dx.doi.org/10.1007/s10336-008-0290-1"
"pg_2805","Wright et al., 2008","Wright, T. F., E. E. Schirtzinger, T. Matsumoto, J. R. Eberhard, G. R. Graves, J. J. Sanchez, S. Capelli, H. Muller, J. Scharpegge, G. K. Chambers, R. C. Fleischer. 2008. A multilocus molecular phylogeny of the parrots (Psittaciformes): support for a Gondwanan origin during the Cretaceous. Molecular Biology and Evolution 25 (10): 2141-2156.","http://dx.doi.org/10.1093/molbev/msn160"
"ot_2307","Wu et al., 2024","Wu, S., Rheindt, F. E., Zhang, J., Wang, J., Zhang, L., Quan, C., Li, Z., Wang, M., Wu, F., Qu, Y., Edwards, S. V., Zhou, Z., & Liu, L. (2024). Genomes, fossils, and the concurrent rise of modern birds and flowering plants in the Late Cretaceous. Proceedings of the National Academy of Sciences, 121(8). https://doi.org/10.1073/pnas.2319696121","http://dx.doi.org/10.1073/pnas.2319696121"
"ot_2083","Yonezawa et al., 2017","Yonezawa, T., Segawa, T., Mori, H., Campos, P. F., Hongoh, Y., Endo, H., Akiyoshi, A., Kohno, N., Nishida, S., Wu, J., Jin, H., Adachi, J., Kishino, H., Kurokawa, K., Nogi, Y., Tanabe, H., Mukoyama, H., Yoshida, K., Rasoamiaramanana, A., … Hasegawa, M. (2017). Phylogenomics and Morphology of Extinct Paleognaths Reveal the Origin and Evolution of the Ratites. Current Biology, 27(1), 68–77. https://doi.org/10.1016/j.cub.2016.10.029","http://dx.doi.org/10.1016/j.cub.2016.10.029"
"ot_2185","Younger et al., 2019","Younger, J. L., Block, N. L., Raherilalao, M. J., Maddox, J. D., Wacker, K. S., Kyriazis, C. C., Goodman, S. M., & Reddy, S. (2019). Diversification of a cryptic radiation, a closer look at Madagascar’s recently recognized bird family. https://doi.org/10.1101/825687","http://dx.doi.org/10.1101/825687"
"ot_2190","Zhang et al., 2016","Zhang, Z., Wang, X., Huang, Y., Olsson, U., Martinez, J., Alström, P., & Lei, F. (2016). Unexpected divergence and lack of divergence revealed in continental Asian Cyornis flycatchers (Aves: Muscicapidae). Molecular Phylogenetics and Evolution, 94, 232–241. https://doi.org/10.1016/j.ympev.2015.08.024","http://dx.doi.org/10.1016/j.ympev.2015.08.024"
"ot_2167","Zhao et al., 2023","Zhao, M., Gordon Burleigh, J., Olsson, U., Alström, P., & Kimball, R. T. (2023). A near-complete and time-calibrated phylogeny of the Old World flycatchers, robins and chats (Aves, Muscicapidae). Molecular Phylogenetics and Evolution, 178, 107646. https://doi.org/10.1016/j.ympev.2022.107646","http://dx.doi.org/10.1016/j.ympev.2022.107646"
"ot_862","Zhou et al., 2016","Zhou, Xiaoping, Chengte Yao, Qingxian Lin, Wenzhen Fang, Xiaolin Chen. 2015. Complete mitochondrial genomes render the Night Heron genus Gorsachius non-monophyletic. Journal of Ornithology 157 (2): 505-513","http://dx.doi.org/10.1007/s10336-015-1297-z"
"ot_880","Zink and Blackwell, 1998","Zink, Robert M., Donna L. Dittmann, John Klicka, Rachelle C. Blackwell-Rago. 1999. Evolutionary patterns of morphometrics, allozymes, and mitochondrial DNA in thrashers (genus Toxostoma). The Auk 116 (4): 1021-1038","http://www.jstor.org/stable/4089682"
"ot_882","Zink et al., 1999","Zink, Robert M., Rachelle C. Blackwell. 1998. Molecular systematics and biogeography of aridland gnatcatchers (genus Polioptila) and evidence supporting species status of the California gnatcatcher (Polioptila californica). Molecular Phylogenetics and Evolution 9 (1): 26-32","http://dx.doi.org/10.1006/mpev.1997.0444"
"ot_820","Zino, Brown and Biscoito, 2008","Zino, Francis, Ruth Brown, Manuel Biscoito. 2008. The separation of Pterodroma madeira (Zino's Petrel) from Pterodroma feae (Fea's Petrel) (Aves: Procellariidae). Ibis 150 (2): 326-334","http://dx.doi.org/10.1111/j.1474-919x.2007.00794.x"
"ot_874","Zuccon et al., 2006","Zuccon, Dario, Alice Cibois, Eric Pasquet, Per G.P. Ericson. 2006. Nuclear and mitochondrial sequence data reveal the major lineages of starlings, mynas and related taxa. Molecular Phylogenetics and Evolution 41 (2): 333-344","http://dx.doi.org/10.1016/j.ympev.2006.05.007"
"pg_2692","Zuccon et al., 2012","Zuccon, Dario, Robert Prŷs-Jones, Pamela C. Rasmussen, and Per G.P. Ericson. 2012. The phylogenetic relationships and generic limits of finches (Fringillidae). Molecular Phylogenetics and Evolution 62 (2): 581-596.","http://dx.doi.org/10.1016/j.ympev.2011.10.002"
"ot_815","Zwiers, Borgia and Fleischer, 2008","Zwiers, Paul B., Gerald Borgia, Robert C. Fleischer. 2008. Plumage based classification of the bowerbird genus Sericulus evaluated using a multi-gene, multi-genome analysis. Molecular Phylogenetics and Evolution 46 (3): 923-931","http://dx.doi.org/10.1016/j.ympev.2007.11.019"
